Andorra	42.5	1.5	84000
United Arab Emirates	24	54	4975593
Afghanistan	33	66	29121286
Albania	41	20	2986952
Armenia	40	45	2968000
Angola	-12.5	18.5	13068161
Argentine	-34	-64	41343201
Austria	47.33333	13.33333	8205000
Australia	-25	135	21515754
Aruba	12.5	-69.96667	71566
Azerbaijan	40.5	47.5	8303512
Barbados	13.16667	-59.53333	285653
Bangladesh	24	90	156118464
Belgium	50.83333	4	10403000
Burkina Faso	13	-2	16241811
Bulgaria	43	25	7148785
Bahrain	26	50.5	738004
Burundi	-3.5	30	9863117
Benin	9.5	2.25	9056010
Saint-Barthélemy	17.9	-62.83333	8450
Negara Brunei Darussalam	4.5	114.66667	395027
Bolivia	-17	-65	9947418
Brazil	-10	-55	201103330
Bahamas	25.04082	-77.37122	301790
Bhutan	27.5	90.5	699847
Botswana	-22	24	2029307
Belarus	53	28	9685000
Belize	17.25	-88.75	314522
Canada	60.10867	-113.64258	33679000
Congo	0	25	70916439
Central African	7	21	4844927
Switzerland	47.00016	8.01427	7581000
Côte d’Ivoire	8	-5	21058798
Chile	-30	-71	16746491
Cameroon	6	12	19294149
China	35	105	1330044000
Colombia	4	-72	44205293
Costa Rica	10	-84	4516220
Cuba	22	-79.5	11423000
Cape Verde	16	-24	508659
Curacao	12.16667	-69	141766
Cyprus	35	33	1102677
Czech	49.75	15	10476000
Germany	51.5	10.5	81802257
Djibouti	11.5	42.5	740528
Denmark	56	10	5484000
Dominica	15.5	-61.33333	72813
Dominican Republic	19	-70.66667	9823821
Algeria	28	3	34586184
Ecuador	-2	-77.5	14790608
Estonia	59	26	1291170
Egypt	27	30	80471869
Eritrea	15	39	5792984
Spain	40	-4	46505963
Federal Ethiopia	8	38	88013491
Finland	64	26	5244000
Fiji	-18	178	875983
France	46	2	64768389
Gabon	-1	11.75	1545255
United Kingdom	54.75844	-2.69531	62348447
Grenada	12.11667	-61.66667	107818
Georgia	41.99998	43.4999	4630000
Ghana	8.1	-1.2	24339838
Gambia	13.5	-15.5	1593256
Guinea	11	-10	10324025
Guinea	1.7	10.5	1014999
Hellenic	39	22	11000000
Guatemala	15.5	-90.25	13550440
Guinea-Bissau	12	-15	1565126
Co-Guyana	5	-59	748486
Honduras	15	-86.5	7989415
Croatia	45.16667	15.5	4491000
Haiti	19	-72.41667	9648924
Hungary	47	20	9930000
Indonesia	-5	120	242968342
Ireland	53	-8	4622917
Israel	31.5	34.75	7353985
India	20	77	1173108018
Iraq	33	44	29671605
Iran	32	53	76923300
Iceland	65	-18	308910
Italy	42.83333	12.83333	60340328
Jamaica	18.25	-77.5	2847232
Jordan	31	36	6407085
Japan	35.68536	139.75309	127288000
Kenya	1	38	40046566
Kyrgyz	41	75	5508626
Cambodia	13	105	14453680
Kiribati	1.421	172.984	92533
Comoros	-12.23333	44.44553	773407
North Korea	40	127	22912177
South Korea	37	127.5	48422644
Kuwait	29.5	47.75	2789132
Kazakhstan	48	68	15340000
Lao	18	105	6368162
Lebanon	33.83333	35.83333	4125247
Saint Lucia	13.88333	-60.96667	160922
Liechtenstein	47.16667	9.53333	35000
Sri Lanka	7	81	21513990
Liberia	6.5	-9.5	3685076
Lesotho	-29.5	28.25	1919552
Lithuania	56	24	3565000
Luxembourg	49.75	6.16667	497538
Latvia	57	25	2217969
Libya	28	17	6461454
Morocco	32	-5	31627428
Monaco	43.73141	7.41903	32965
Moldova	47	29	4324000
Montenegro	42.5	19.3	666730
Saint-Martin	18.06667	-63.06667	35925
Madagascar	-20	47	21281844
Macedonia	41.83333	22	2061000
Mali	18	-2	13796354
Burma	22	98	53414374
Mongolia	46	105	3086918
Mauritania	20	-12	3205060
Malta	35.91667	14.43333	403000
Mauritius	-20.3	57.58333	1294104
Maldives	3.2	73	395650
Malawi	-13.5	34	15447500
Mexico	23	-102	112468855
Malaysia	2.5	112.5	28274729
Mozambique	-18.25	35	22061451
Namibia	-22	17	2128471
Niger	18	9	15878271
Nigeria	10	8	154000000
Nicaragua	13	-85	5995928
Netherlands	52.5	5.75	16645000
Norway	62	10	5009150
Nepal	28	84	28951852
Nauru	-0.517	166.933	10065
New Zealand	-42	174	4252277
Oman	21	57	2967717
Panama	9	-80	3410676
Peru	-10	-76	29907003
New Guinea	-6	147	6064515
Philippines	13	122	99900177
Pakistan	30	70	184404791
Poland	52	20	38500000
Portugal	39.5	-8	10676000
Paraguay	-22.99333	-57.99639	6375830
Qatar	25.5	51.25	840926
Romania	46	25	21959278
Serbia	44.81892	20.45998	7344847
Russia	60	100	140702000
Rwanda	-2	30	11055976
